name,price
Cubo original de Celudmovil,"$79.990,00"
Cable usb - c a lightning 1 metro original Celudmovil,"$59.990,00"
MagSafe Duo Charger - Apple,"$599.990,00"
Cargador MagSafe Original - Apple,"$199.990,00"
Cargador completo celudmovil cubo 20wts + Cable lightning,"$109.990,00"
Cubo de carga USB  para iPhone - 5W (CON CAJA),"$49.990,00"
Cubo carga USB - Full calidad (SIN CAJA),"$24.990,00"
Cargador Magnético para  Apple Watch - Full calidad,"$129.990,00"
Cubo de carga Samsung Original 25W,"$84.990,00"
Cargador Samsung Original 45W,"$199.990,00"
Cargador Original 67W - Xiaomi,"$119.990,00"
Cargador Carga Rapida  MC - 60 MOVISUN,"$29.990,00"
Cargador Carga Rapida  MQC- 50 MOVISUN,"$24.990,00"
Cable de carga rápida  Tipo C A Tipo  C SAMSUNG | Full calidad,"$19.990,00"
Cargador para carro C10 - MOVISUN,"$22.990,00"
Cable de carga - MOVISUN L434,"$14.990,00"
Cargador Original 33W - Xiaomi,"$89.990,00"
Cable Trenzado Tipo C A C - Original Celudmovil,"$89.990,00"
Cargador MagSafe Full Calidad - Apple,"$99.990,00"
Cubo original de Apple + Cable Original (TIPO C A C O LIGHTNING A C 1 METRO),"$209.990,00"
Cargador Carga Rapida  MC - 80 MOVISUN,"$29.990,00"
Airpods 2 Generación Originales + Case Protector,"$549.990,00"
Auriculares Inalámbricos Monster Air Mars XKT 01,"$189.990,00"
Auriculares Inalámbricos Lenovo XT62,"$129.990,00"
Airpods Pro Segunda Generación Apple,"$999.990,00"
Diademas Bose QuietComfort 45 - Blanco,"$1.549.990,00"
Audífonos G-TiDE Buds 2,"$119.990,00"
Auriculares Samsung - TYPE C EARPHONES,"$99.990,00"
Auriculares Bluetooth Diadema K10 y K20 - MOVISUN,"$74.990,00"
Auriculares Inalámbricos FLY T1 - MOVISUN,"$59.990,00"
Auriculares Enjoy P1  MOVISUN 3.5mm,"$24.990,00"
Auriculares Chacha B2  MOVISUN 3.5mm,"$9.990,00"
Auriculares Chacha B7  MOVISUN 3.5mm,"$19.990,00"
Auriculares inalámbricos JBL Tune 110BT,"$99.990,00"
Auriculares Inalámbricos DEFUNC,"$31.990,00"
Auriculares Enjoy P5 - Movisun,"$19.990,00"
Airpods Max,"$2.399.990,00"
Auriculares Celudmovil Earphones C Pro,"$179.990,00"
Auriculares Enjoy P2,"$19.990,00"
Enjoy L1 Auriculares,"$9.990,00"
